majority,congress,session,rollcall-num,legis-num,vote-question,vote-result,vote-desc,r-y,r-no,r-p,r-nv,d-y,d-no,d-p,d-nv,ind-y,ind-n,i-p,i-nv,
R,114,1st,128,S J RES 8,On Passage,Passed,Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Labor Relations Board relating to representation case procedures.,232,3,0,9,0,183,0,5,0,0,0,0,
R,114,1st,129,JOURNAL,On Approving the Journal,Passed,None,139,83,1,21,94,76,0,18,0,0,0,0,
R,114,1st,13,H R 30,On Motion to Recommit with Instructions,Failed,Save American Workers Act of 2015,0,240,0,2,179,4,0,4,0,0,0,0,
R,114,1st,130,H R 360,On Motion to Suspend the Rules and Pass, as Amended,Passed,To reauthorize the Native American Housing Assistance and Self-Determination Act of 1996, and for other purposes.,128,95,0,21,169,3,0,16,0,0,0,0,
R,114,1st,131,H RES 162,On Motion to Suspend the Rules and Agree,Passed,Calling on the President to provide Ukraine with military assistance to defend its sovereignty and territorial integrity.,214,10,0,20,134,38,0,16,0,0,0,0,
R,114,1st,132,H RES 163,On Ordering the Previous Question,Passed,Providing for consideration of the concurrent resolution (H. Con. Res. 27) establishing the budget for the United States Government for fiscal year 2016 and setting forth appropriate budgetary levels for fiscal years 2017 through 2025.,238,0,0,6,0,180,0,8,0,0,0,0,
R,114,1st,133,H RES 163,On Agreeing to the Resolution,Passed,Providing for consideration of the concurrent resolution (H. Con. Res. 27) establishing the budget for the United States Government for fiscal year 2016 and setting forth appropriate budgetary levels for fiscal years 2017 through 2025.,237,1,1,5,0,179,0,9,0,0,0,0,
R,114,1st,134,H R 216,On Motion to Suspend the Rules and Pass, as Amended,Passed,Department of Veterans Affairs Budget Planning Reform Act of 2015,239,0,0,5,181,0,0,7,0,0,0,0,
R,114,1st,135,JOURNAL,On Approving the Journal,Passed,None,147,89,1,7,107,67,1,13,0,0,0,0,
R,114,1st,136,H CON RES 27,On Agreeing to the Amendment,Failed,None,0,244,0,0,96,86,0,6,0,0,0,0,
R,114,1st,137,H CON RES 27,On Agreeing to the Amendment,Failed,None,0,244,0,0,120,62,0,6,0,0,0,0,
R,114,1st,138,H CON RES 27,On Agreeing to the Amendment,Failed,None,132,112,0,0,0,182,0,6,0,0,0,0,
R,114,1st,139,H CON RES 27,On Agreeing to the Amendment,Failed,None,0,242,0,2,160,22,0,6,0,0,0,0,
R,114,1st,14,H R 30,On Passage,Passed,Save American Workers Act of 2015,240,0,0,2,12,172,0,3,0,0,0,0,
R,114,1st,140,H CON RES 27,On Agreeing to the Amendment,Failed,None,105,139,0,0,0,180,0,8,0,0,0,0,
R,114,1st,141,H CON RES 27,On Agreeing to the Amendment,Agreed to,None,219,26,0,0,0,182,0,6,0,0,0,0,
R,114,1st,142,H CON RES 27,On Agreeing to the Resolution, as Amended,Passed,Establishing the budget for the United States Government for fiscal year 2016 and setting forth appropriate budgetary levels for fiscal years 2017 through 2025,228,17,0,0,0,182,0,6,0,0,0,0,
R,114,1st,143,H RES 173,On Agreeing to the Resolution,Passed,Providing for consideration of H. R. 2, Medicare Access and CHIP Reauthorization Act of 2015,230,5,5,4,172,7,0,9,0,0,0,0,
R,114,1st,144,H R 2,On Passage,Passed,Medicare Access and CHIP Reauthorization Act of 2015,212,33,0,0,180,4,0,4,0,0,0,0,
R,114,1st,145,H R 1259,On Motion to Suspend the Rules and Pass,Passed,Helping Expand Lending Practices in Rural Communities Act,230,0,0,13,171,1,0,16,0,0,0,0,
R,114,1st,146,H R 1265,On Motion to Suspend the Rules and Pass,Passed,Bureau Advisory Commission Transparancy Act,230,0,0,13,171,2,0,15,0,0,0,0,
R,114,1st,147,H R 1480,On Motion to Suspend the Rules and Pass,Passed,SAFE Act Confidentiality and Privilege Enhancement Act,230,0,0,13,171,0,0,17,0,0,0,0,
R,114,1st,148,H RES 189,On Ordering the Previous Question,Passed,Providing for consideration of H.R. 650, Preserving Access to Manufactured Housing Act of 2015; providing for consideration of H.R. 685, Mortgage Choice Act of 2015; and providing for adoption of S. Con. Res. 11, Congressional budget for the United States Government, FY 2016,239,1,0,3,0,182,0,6,0,0,0,0,
R,114,1st,149,H RES 189,On Agreeing to the Resolution,Passed,Providing for consideration of H.R. 650, Preserving Access to Manufactured Housing Act of 2015; providing for consideration of H.R. 685, Mortgage Choice Act of 2015; and providing for adoption of S. Con. Res. 11, Congressional budget for the United States Government, FY 2016,237,2,0,4,0,183,0,5,0,0,0,0,
R,114,1st,15,H R 3,On Motion to Recommit with Instructions,Failed,Keystone XL Pipeline Act,0,237,0,5,180,0,0,7,0,0,0,0,
R,114,1st,150,H R 650,On Motion to Recommit with Instructions,Failed,Preserving Access to Manufactured Housing Act,1,239,0,3,183,0,0,5,0,0,0,0,
R,114,1st,151,H R 650,On Passage,Passed,Preserving Access to Manufactured Housing Act,241,1,0,1,22,161,0,5,0,0,0,0,
R,114,1st,152,H R 685,On Passage,Passed,Mortgage Choice Act of 2015,241,1,0,1,45,139,0,4,0,0,0,0,
R,114,1st,153,S CON RES 11,On Motion to Instruct Conferees,Failed,Setting forth the congressional budget for the United States Government for fiscal year 2016 and setting forth the appropriate budgetary levels for fiscal years 2017 through 2015,3,238,0,2,184,1,0,3,0,0,0,0,
R,114,1st,154,H RES 200,On Ordering the Previous Question,Passed,Providing for consideration of H.R. 622, State and Local Sales Tax Deduction Fairness Act of 2015; providing for consideration of H.R. 1105, Death Tax Repeal Act of 2015, and providing for consideration of H.R. 1195, Bureau of Consumer Financial Protection Advisory Boards Act of 2015,240,0,0,3,0,183,0,5,0,0,0,0,
R,114,1st,155,H RES 200,On Agreeing to the Resolution,Passed,Providing for consideration of H.R. 622, State and Local Sales Tax Deduction Fairness Act of 2015; providing for consideration of H.R. 1105, Death Tax Repeal Act of 2015, and providing for consideration of H.R. 1195, Bureau of Consumer Financial Protection Advisory Boards Act of 2015,240,0,0,3,2,182,0,4,0,0,0,0,
R,114,1st,156,H R 1562,On Motion to Suspend the Rules and Pass,Passed,Contracting and Tax Accountability Act of 2015,241,0,0,2,183,0,0,5,0,0,0,0,
R,114,1st,157,H R 1563,On Motion to Suspend the Rules and Pass, as Amended,Failed,Federal Employee Tax Accountability Act of 2015,239,3,0,1,27,157,0,4,0,0,0,0,
R,114,1st,158,H R 622,On Motion to Recommit with Instructions,Failed,State and Local Sales Tax Deduction Fairness Act,1,237,0,5,178,6,0,4,0,0,0,0,
R,114,1st,159,H R 622,On Passage,Passed,State and Local Sales Tax Deduction Fairness Act,238,1,0,4,34,151,0,3,0,0,0,0,
R,114,1st,16,H R 3,On Passage,Passed,Keystone XL Pipeline Act,238,0,1,3,28,153,0,6,0,0,0,0,
R,114,1st,160,H R 1105,On Motion to Recommit with Instructions,Failed,Death Tax Repeal Act,1,232,0,10,185,0,0,3,0,0,0,0,
R,114,1st,161,H R 1105,On Passage,Passed,Death Tax Repeal Act,233,3,0,7,7,176,0,5,0,0,0,0,
R,114,1st,162,H CON RES 25,On Motion to Suspend the Rules and Agree,Passed,Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition,231,0,0,12,179,0,0,9,0,0,0,0,
R,114,1st,163,H RES 212,On Ordering the Previous Question,Passed,Providing for consideration of H.R. 1560, the Protecting Cyber Networks Act and H.R. 1731, the National Cybersecurity Protection Advancement Act of 2015,237,0,0,6,0,179,0,9,0,0,0,0,
R,114,1st,164,H RES 212,On Agreeing to the Resolution,Passed,Providing for consideration of H.R. 1560, the Protecting Cyber Networks Act and H.R. 1731, the National Cybersecurity Protection Advancement Act of 2015,234,4,0,5,4,178,0,6,0,0,0,0,
R,114,1st,165,H R 1195,On Agreeing to the Amendment,Agreed to,None,64,172,0,7,180,1,0,7,0,0,0,0,
R,114,1st,166,H R 1195,On Motion to Recommit with Instructions,Failed,Bureau of Consumer Financial Protection Advisory Boards Act,2,234,0,7,182,0,0,6,0,0,0,0,
R,114,1st,167,H R 1195,On Passage,Passed,Bureau of Consumer Financial Protection Advisory Boards Act,231,5,0,7,4,178,0,6,0,0,0,0,
R,114,1st,168,H R 1560,On Agreeing to the Amendment,Agreed to,None,137,102,0,4,176,8,0,4,0,0,0,0,
R,114,1st,169,H R 1560,On Motion to Recommit with Instructions,Failed,Protecting Cyber Networks Act,0,238,0,5,183,1,0,4,0,0,0,0,
R,114,1st,17,H R 203,On Motion to Suspend the Rules and Pass,Passed,Clay Hunt Suicide Prevention for American Veterans Act,234,0,0,10,169,0,0,19,0,0,0,0,
R,114,1st,170,H R 1560,On Passage,Passed,Protecting Cyber Networks Act,202,37,0,4,105,79,0,4,0,0,0,0,
R,114,1st,171,H R 1731,On Agreeing to the Amendment,Agreed to,None,231,8,0,4,174,0,0,14,0,0,0,0,
R,114,1st,172,H R 1731,On Motion to Recommit with Instructions,Failed,National Cybersecurity Protection Advancement Act of 2015,1,238,0,4,179,0,0,9,0,0,0,0,
R,114,1st,173,H R 1731,On Passage,Passed,National Cybersecurity Protection Advancement Act of 2015,220,19,0,4,135,44,0,9,0,0,0,0,
R,114,1st,174,H R 373,On Motion to Suspend the Rules and Pass, as Amended,Passed,Good Samaritan Search and Recovery Act,239,0,0,4,174,0,0,14,0,0,0,0,
R,114,1st,175,H R 1324,On Motion to Suspend the Rules and Pass,Passed,Arapaho National Forest Boundary Adjustment Act of 2015,209,30,0,4,172,0,0,16,0,0,0,0,
R,114,1st,176,H RES 223,On Agreeing to the Resolution,Passed,Consideration of (H.R. 2028) making appropriations for energy and water development and related agencies for FY ending Sept. 30, 2016 and providing for consideration of (H.R. 2029) making appropriations for military construction, the Dept. of Veterans Affairs, and related agencies for FY ending Sept. 30, 2016,240,1,0,2,0,185,0,3,0,0,0,0,
R,114,1st,177,H R 651,On Motion to Suspend the Rules and Pass,Passed,Sister Ann Keefe Post Office,240,0,0,3,183,0,0,5,0,0,0,0,
R,114,1st,178,H R 2029,On Sustaining the Ruling of the Chair,Passed,Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes,237,1,0,5,0,179,0,9,0,0,0,0,
R,114,1st,179,H RES 231,On Consideration of the Resolution,Passed,Providing for consideration of the bill (H.R. 1732); providing for consideration of the conference report to accompany the concurrent resolution (S.Con.Res. 11); and providing for consideration of the joint resolution (H.J.Res. 43),238,0,0,5,2,174,0,12,0,0,0,0,
R,114,1st,18,H R 33,On Motion to Suspend the Rules and Pass,Passed,Protecting Volunteer Firefighters and Emergency Responders Act,232,0,0,12,169,0,0,19,0,0,0,0,
R,114,1st,180,H RES 231,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 1732); providing for consideration of the conference report to accompany the concurrent resolution (S.Con.Res. 11); and providing for consideration of the joint resolution (H.J.Res. 43),241,0,0,2,0,181,0,7,0,0,0,0,
R,114,1st,181,H RES 231,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 1732); providing for consideration of the conference report to accompany the concurrent resolution (S.Con.Res. 11); and providing for consideration of the joint resolution (H.J.Res. 43),242,0,0,1,0,181,0,7,0,0,0,0,
R,114,1st,182,JOURNAL,On Approving the Journal,Passed,None,145,94,1,3,91,81,1,15,0,0,0,0,
R,114,1st,183,S CON RES 11,On Agreeing to the Conference Report,Passed,Setting forth the congressional budget for the United States Government for fiscal year 2016 and setting forth the appropriate budgetary levels for fiscal years 2017 through 2025,226,14,0,4,0,183,0,5,0,0,0,0,
R,114,1st,184,H R 2029,On Agreeing to the Amendment,Failed,None,27,210,1,5,164,19,0,5,0,0,0,0,
R,114,1st,185,H R 2029,On Agreeing to the Amendment,Failed,None,29,209,1,4,163,20,0,5,0,0,0,0,
R,114,1st,186,H R 2029,On Agreeing to the Amendment,Failed,None,29,210,1,3,161,21,0,6,0,0,0,0,
R,114,1st,187,H R 2029,On Agreeing to the Amendment,Failed,None,4,236,0,3,163,18,0,7,0,0,0,0,
R,114,1st,188,H R 2029,On Agreeing to the Amendment,Failed,None,35,205,0,3,175,8,0,5,0,0,0,0,
R,114,1st,189,H R 2029,On Agreeing to the Amendment,Failed,None,3,237,0,3,183,0,0,5,0,0,0,0,
R,114,1st,19,JOURNAL,On Approving the Journal,Passed,None,152,75,0,17,105,53,0,30,0,0,0,0,
R,114,1st,190,H R 2029,On Agreeing to the Amendment,Failed,None,190,49,0,4,0,183,0,5,0,0,0,0,
R,114,1st,191,H R 2029,On Agreeing to the Amendment,Failed,None,186,52,0,5,0,183,0,5,0,0,0,0,
R,114,1st,192,H R 2029,On Motion to Recommit with Instructions,Failed,Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes,0,236,0,7,181,0,0,7,0,0,0,0,
R,114,1st,193,H R 2029,On Passage,Passed,Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes,236,4,0,3,19,159,0,10,0,0,0,0,
R,114,1st,194,H J RES 43,On Passage,Passed,Disapproving the action of the District of Columbia Council in approving the Reproductive Health Non-Discrimination Amendment Act of 2014,225,13,0,5,3,179,0,6,0,0,0,0,
R,114,1st,195,H R 2028,On Agreeing to the Amendment,Failed,None,126,113,0,4,0,182,0,6,0,0,0,0,
R,114,1st,196,H R 2028,On Agreeing to the Amendment,Failed,None,11,228,0,4,161,21,0,6,0,0,0,0,
R,114,1st,197,H R 2028,On Agreeing to the Amendment,Failed,None,175,64,0,4,2,180,0,6,0,0,0,0,
R,114,1st,198,H R 2028,On Agreeing to the Amendment,Failed,None,9,230,0,4,164,18,0,6,0,0,0,0,
R,114,1st,199,H R 2028,On Agreeing to the Amendment,Failed,None,139,100,0,4,0,182,0,6,0,0,0,0,
R,114,1st,2,Election of the Speaker,Boehner,None,
R,114,1st,20,H RES 27,On Ordering the Previous Question,Passed,Providing for consideration of H.R. 37, the Promoting Job Creation and Reducing Small Business Burdens Act; H.R. 185, the Regulatory Accountability Act of 2015; and H.R. 240, Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes,242,0,0,3,0,181,0,7,0,0,0,0,
R,114,1st,200,H R 2028,On Agreeing to the Amendment,Failed,None,110,129,0,4,0,182,0,6,0,0,0,0,
R,114,1st,201,H R 2028,On Agreeing to the Amendment,Failed,None,42,197,0,4,133,49,0,6,0,0,0,0,
R,114,1st,202,H R 2028,On Agreeing to the Amendment,Failed,None,26,213,0,4,176,6,0,6,0,0,0,0,
R,114,1st,203,H R 2028,On Agreeing to the Amendment,Failed,None,15,224,0,4,149,33,0,6,0,0,0,0,
R,114,1st,204,H R 2028,On Agreeing to the Amendment,Failed,None,13,226,0,4,136,46,0,6,0,0,0,0,
R,114,1st,205,H R 2028,On Agreeing to the Amendment,Failed,None,143,96,0,4,0,182,0,6,0,0,0,0,
R,114,1st,206,H R 2028,On Agreeing to the Amendment,Failed,None,171,68,0,4,0,182,0,6,0,0,0,0,
R,114,1st,207,H R 2028,On Agreeing to the Amendment,Agreed to,None,231,8,0,4,1,181,0,6,0,0,0,0,
R,114,1st,208,H R 2028,On Agreeing to the Amendment,Agreed to,None,230,3,0,10,2,169,0,17,0,0,0,0,
R,114,1st,209,H R 2028,On Agreeing to the Amendment,Agreed to,None,223,10,0,10,1,174,0,13,0,0,0,0,
R,114,1st,21,H RES 27,On Agreeing to the Resolution,Passed,Providing for consideration of H.R. 37, the Promoting Job Creation and Reducing Small Business Burdens Act; H.R. 185, the Regulatory Accountability Act of 2015; and H.R. 240, Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes,241,0,0,4,1,180,0,7,0,0,0,0,
R,114,1st,210,H R 2028,On Agreeing to the Amendment,Failed,None,156,77,0,10,3,171,0,14,0,0,0,0,
R,114,1st,211,H R 2028,On Agreeing to the Amendment,Agreed to,None,226,9,0,8,2,174,0,12,0,0,0,0,
R,114,1st,212,H R 2028,On Agreeing to the Amendment,Agreed to,None,229,5,0,9,10,169,0,9,0,0,0,0,
R,114,1st,213,H R 2028,On Agreeing to the Amendment,Agreed to,None,225,10,0,8,3,173,0,12,0,0,0,0,
R,114,1st,214,H R 2028,On Motion to Recommit with Instructions,Failed,Making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2016, and for other purposes,0,235,0,8,180,0,0,8,0,0,0,0,
R,114,1st,215,H R 2028,On Passage,Passed,Making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2016, and for other purposes,230,7,0,6,10,170,0,8,0,0,0,0,
R,114,1st,217,H R 1732,On Agreeing to the Amendment,Failed,None,0,237,0,7,167,11,0,10,0,0,0,0,
R,114,1st,218,H R 1732,On Motion to Recommit with Instructions,Failed,Regulatory Integrity Protection Act,0,237,0,7,175,4,0,9,0,0,0,0,
R,114,1st,219,H R 1732,On Passage,Passed,Regulatory Integrity Protection Act,237,0,0,7,24,155,0,9,0,0,0,0,
R,114,1st,22,JOURNAL,On Approving the Journal,Passed,None,153,88,1,3,108,72,0,8,0,0,0,0,
R,114,1st,221,H RES 255,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 1735), to authorize FY 2016 appropriations for the Department of Defense; providing for consideration of the bill (H.R. 36), the Pain-Capable Unborn Child Protection Act; and providing for consideration of the bill (H.R. 2048), the USA FREEDOM Act of 2015.,240,2,0,2,0,184,0,4,0,0,0,0,
R,114,1st,222,H R 36,On Motion to Recommit with Instructions,Failed,Pain-Capable Unborn Child Protection Act,0,243,0,1,181,3,0,4,0,0,0,0,
R,114,1st,223,H R 36,On Passage,Passed,Pain-Capable Unborn Child Protection Act,238,4,1,1,4,180,0,4,0,0,0,0,
R,114,1st,224,H R 2048,On Passage,Passed,Uniting and Strengthening America by Fulfilling Rights and Ensuring Effective Discipline Over Monitoring Act of 2015 or the USA FREEDOM Act,196,47,0,1,142,41,0,5,0,0,0,0,
R,114,1st,225,H RES 260,On Agreeing to the Resolution,Passed,Providing for further consideration of H.R. 1735, National Defense Authorization Act for Fiscal Year 2016,241,1,0,2,2,180,0,6,0,0,0,0,
R,114,1st,226,H R 1191,On Motion to Suspend the Rules and Concur in the Senate Amendments,Passed,Protecting Volunteer Firefighters and Emergency Responders Act,223,19,0,2,177,6,0,5,0,0,0,0,
R,114,1st,227,H R 2297,On Motion to Suspend the Rules and Pass,Passed,Hezbollah International Financing Prevention Act of 2015,240,0,0,4,183,0,0,5,0,0,0,0,
R,114,1st,228,H R 1735,On Agreeing to the Amendment,Failed,None,4,236,0,4,56,127,0,5,0,0,0,0,
R,114,1st,229,H R 1735,On Agreeing to the Amendment,Agreed to,None,221,20,0,3,0,182,0,6,0,0,0,0,
R,114,1st,23,H R 185,On Agreeing to the Amendment,Agreed to,None,241,0,0,4,13,168,0,7,0,0,0,0,
R,114,1st,230,H R 1735,On Agreeing to the Amendment,Agreed to,None,234,7,0,3,9,173,0,6,0,0,0,0,
R,114,1st,231,H R 1735,On Agreeing to the Amendment,Failed,None,5,236,0,3,169,13,0,6,0,0,0,0,
R,114,1st,232,H R 1735,On Agreeing to the Amendment,Agreed to,None,235,4,0,5,18,162,0,8,0,0,0,0,
R,114,1st,233,H R 1735,On Agreeing to the Amendment,Agreed to,None,236,0,0,8,177,1,2,8,0,0,0,0,
R,114,1st,234,H R 1735,On Agreeing to the Amendment,Agreed to,None,231,4,0,9,4,178,0,6,0,0,0,0,
R,114,1st,235,H R 1735,On Agreeing to the Amendment,Failed,None,4,231,0,9,39,144,0,5,0,0,0,0,
R,114,1st,236,H R 1735,On Agreeing to the Amendment,Agreed to,None,225,10,0,9,4,180,0,4,0,0,0,0,
R,114,1st,237,H R 1735,On Agreeing to the Amendment,Failed,None,3,233,0,8,175,9,0,4,0,0,0,0,
R,114,1st,238,H R 1735,On Motion to Recommit with Instructions,Failed,To authorize appropriations for fiscal year 2016 for military activites of the Department of Defense and for military construction, to prescribe military personnel strengths for such fiscal year, and for other purposes,1,234,0,9,183,0,0,5,0,0,0,0,
R,114,1st,239,H R 1735,On Passage,Passed,To authorize appropriations for fiscal year 2016 for military activites of the Department of Defense and for military construction, to prescribe military personnel strengths for such fiscal year, and for other purposes,228,8,0,8,41,143,0,4,0,0,0,0,
R,114,1st,24,H R 185,On Agreeing to the Amendment,Failed,None,1,241,0,3,177,6,0,5,0,0,0,0,
R,114,1st,241,H R 1313,On Motion to Suspend the Rules and Pass,Passed,Service Disabled Veteran Owned Small Business Relief Act,233,0,0,11,170,0,0,18,0,0,0,0,
R,114,1st,242,H R 1382,On Motion to Suspend the Rules and Pass, as Amended,Passed,Boosting Rates of American Veteran Employment Act (BRAVE Act),234,0,0,10,170,0,0,18,0,0,0,0,
R,114,1st,243,H RES 271,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 1806) America COMPETES Reauthorization Act; providing for consideration of the bill (H.R. 2250) Making appropriations for the Legislative Branch for the FY ending Sept. 30, 2016; and providing for consideration of the bill (H.R. 2353) Highway and Transportation Funding Act,241,0,0,3,1,179,0,8,0,0,0,0,
R,114,1st,244,S 178,On Motion to Suspend the Rules and Pass,Passed,Justice for Victims of Trafficking Act of 2015,241,1,0,2,179,2,0,7,0,0,0,0,
R,114,1st,245,H R 2250,On Agreeing to the Amendment,Agreed to,None,219,23,0,2,5,176,0,7,0,0,0,0,
R,114,1st,246,H R 2250,On Agreeing to the Amendment,Failed,None,169,72,0,3,3,178,0,7,0,0,0,0,
R,114,1st,247,H R 2250,On Passage,Passed,Making appropriations for the Legislative Branch for the fiscal year ending September 30, 2016, and for other purposes,237,5,0,2,120,62,0,6,0,0,0,0,
R,114,1st,248,H R 2353,On Motion to Recommit with Instructions,Failed,Highway and Transportation Funding Act of 2015,0,241,0,3,182,0,0,6,0,0,0,0,
R,114,1st,249,H R 2353,On Passage,Passed,Highway and Transportation Funding Act of 2015,228,12,1,3,159,23,0,6,0,0,0,0,
R,114,1st,25,H R 185,On Agreeing to the Amendment,Failed,None,0,242,0,3,176,7,0,5,0,0,0,0,
